term,spec,beta,beta_se,or,n_quartet,mfx,mfx_se,specialty,n_choiceset
same_sex,1,0.04981225389296834,0.07686432717801656,1.0510737428470027,95042,0.004979705841109986,0.007733498177369222,cardioem,604620
same_prac,1,1.9170861915006574,0.3507182778710543,6.801112430349274,95042,0.2524467528048992,0.053520800460372726,cardioem,604620
diff_dist,1,-0.09754231356199307,0.006721811558474874,0.9070639596366818,95042,-0.04427046047127938,0.0018976876826488668,cardioem,604620
same_sex,2,0.05722297477878814,0.07599315267093525,1.0588918902595854,95039,0.005719830146728851,0.007595978130769066,cardioem,604620
same_prac,2,1.920856354099392,0.3497076323472872,6.826802126800624,95039,0.25295409872827984,0.05044276985881599,cardioem,604620
diff_dist,2,-0.09804489607584692,0.006423235539116838,0.9066081996897046,95039,-0.04449078956401737,0.001054549369286523,cardioem,604620
diff_age,2,0.007254836521496338,0.0042696667791074444,1.0072812166037812,95039,7.276917080872128e-4,4.4948625905324676e-4,cardioem,604620
same_sex,3,0.06051698553960252,0.07692181402249038,1.0623856426104779,93062,0.006035924217006484,0.007662091550362438,cardioem,604620
same_prac,3,1.9151932886722343,0.35409101883645566,6.788250762177839,93062,0.25181738176666846,0.051125957990031674,cardioem,604620
diff_dist,3,-0.09725460739723832,0.00669638973207113,0.9073249650743325,93062,-0.04406568605797506,0.0012232733149062803,cardioem,604620
diff_age,3,0.005465874956857067,0.005438582013419636,1.005480840104831,93062,5.469452202234568e-4,5.636325788927321e-4,cardioem,604620
diff_gradyear,3,0.0016150360238446331,0.0033621521202619954,1.0016163408969017,93062,1.614891085593831e-4,3.322000486151657e-4,cardioem,604620
same_sex,4,0.05977402706035933,0.07884081117668655,1.0615966273281652,92990,0.00595574786564311,0.007782302093873688,cardioem,604620
same_prac,4,1.9145593366343854,0.35454202427423914,6.78394870056817,92990,0.25163847624667735,0.049921396366401034,cardioem,604620
diff_dist,4,-0.09735815022126405,0.006680072963608266,0.90723102294874,92990,-0.044046566420324146,0.0010552983353073165,cardioem,604620
same_race,4,0.07748524019129477,0.07613131764468678,1.0805662833892213,92990,0.007721595974342713,0.007736396202819534,cardioem,604620
diff_age,4,0.005543708211425925,0.005504258408088868,1.0055591029967113,92990,5.541736831886492e-4,5.732441482491319e-4,cardioem,604620
diff_gradyear,4,0.0015654484920017177,0.003370628316931647,1.0015666744461316,92990,1.563685313588665e-4,3.3245813586562555e-4,cardioem,604620
