term,spec,beta,beta_se,or,n_quartet,mfx,mfx_se,specialty,n_choiceset
same_sex,1,0.18904275930706854,0.08032124412805214,1.208092608581322,64088,0.022876903816310294,0.00967465953121237,derm,328082
same_prac,1,2.794444446379144,0.36156382459445086,16.353540960118572,64088,0.40684036799173867,0.051843998627732917,derm,328082
diff_dist,1,-0.12645850642380513,0.010814350056500435,0.8812107133688072,64088,-0.06971581145347251,0.0034421958104004662,derm,328082
same_sex,2,0.18574677852389557,0.08259480353694192,1.2041173134061944,64076,0.022486478375823186,0.010159189429341997,derm,328082
same_prac,2,2.7943048248836635,0.3625776184522555,16.351257813665192,64076,0.406822436580278,0.05248633573285047,derm,328082
diff_dist,2,-0.12643513205969137,0.010853466893395556,0.8812313113496139,64076,-0.06972893651548938,0.003931200023073472,derm,328082
diff_age,2,-0.0022761908637119834,0.0028065709343704725,0.9977263976943221,64076,-2.763030954716606e-4,3.3749198253585567e-4,derm,328082
same_sex,3,0.18815046425722973,0.08427289013625922,1.2070151143198269,62490,0.022779826004945533,0.010370396183524748,derm,328082
same_prac,3,2.797521200012373,0.3676830458023821,16.403934260815642,62490,0.4072271873853533,0.05311779798157778,derm,328082
diff_dist,3,-0.12652350561923845,0.010901553652027158,0.8811534372429023,62490,-0.06978780995060128,0.004076519526792054,derm,328082
diff_age,3,0.0031737021384457866,0.008939208178716228,1.0031787436630992,62490,3.856033824643165e-4,0.0010930195426428308,derm,328082
diff_gradyear,3,-0.005131464623537163,0.0086920910077693,0.9948816788496878,62490,-6.227562606997294e-4,0.0010626892399305493,derm,328082
same_sex,4,0.18958215006255094,0.08433699439613318,1.2087444183404334,62373,0.022958512059325132,0.010387620717768777,derm,328082
same_prac,4,2.797034722821035,0.3680231083233992,16.395956061712837,62373,0.4072114819503798,0.053142269542410844,derm,328082
diff_dist,4,-0.12658518075787387,0.010951608909588741,0.8810990936583425,62373,-0.06983711056897043,0.004342836205392179,derm,328082
same_race,4,0.13472630347147202,0.07529549479307866,1.1442235714712592,62373,0.016270751815447456,0.009205096859395577,derm,328082
diff_age,4,0.0031412022868792765,0.008976387791078849,1.0031461410326288,62373,3.8175708227300035e-4,0.0010973690267924994,derm,328082
diff_gradyear,4,-0.005032762274112337,0.008766814200819996,0.9949798808550946,62373,-6.109526547013596e-4,0.001071426044289837,derm,328082
