term,spec,beta,beta_se,or,n_quartet,mfx,mfx_se,specialty,n_choiceset
same_sex,1,0.5791543920984873,0.10958432610114177,1.7845287809164962,4400,0.057775356424237395,0.005165778936864502,ortho,11810
same_prac,1,2.787444648587402,0.3755981109736603,16.23946918566203,4400,0.3790809464203555,0.06421407341050286,ortho,11810
diff_dist,1,-0.10337226494380554,0.02416763112386622,0.901791205735586,4400,-0.04799634327364927,0.0011572867084167736,ortho,11810
same_sex,2,0.5861768152858444,0.10188363386302739,1.7971046018937842,4351,0.05839236060069188,0.005686562573634378,ortho,11810
same_prac,2,2.7806601647222706,0.37468535946436643,16.129665670263428,4351,0.37781070699678504,0.06677123381117477,ortho,11810
diff_dist,2,-0.10341954037036052,0.024623438388617053,0.9017485741793918,4351,-0.04796643017516014,0.001995923880087209,ortho,11810
diff_age,2,0.006603701312445427,0.023879579913935058,1.0066255538239608,4351,6.790313156935093e-4,0.002539833653144513,ortho,11810
diff_gradyear,2,-0.001157912873943883,0.02136696393230684,0.9988427572484951,4351,-1.188905412742252e-4,0.002202018528291952,ortho,11810
same_sex,3,0.5873630859162001,0.10033896624932773,1.7992377192797906,4350,0.05842213917224916,0.012815083001191453,ortho,11810
same_prac,3,2.835681314727324,0.3860428525591051,17.04200731649959,4350,0.3846155779739054,0.08144273809321834,ortho,11810
diff_dist,3,-0.10363398184817756,0.024403645627084206,0.901555222614564,4350,-0.0479889589174253,0.010182986448985893,ortho,11810
same_race,3,0.7289825242800511,0.6204504307461193,2.0729703372953696,4350,0.06961295317203443,0.07580627848612088,ortho,11810
diff_age,3,0.007788729295526507,0.023995900098834025,1.0078191403507655,4350,7.996899179070654e-4,0.002586280440374041,ortho,11810
diff_gradyear,3,-0.002148598787964612,0.021104352983604354,0.9978537077981394,4350,-2.2019378878010879e-4,0.0021732699275211196,ortho,11810
same_sex,4,0.5571745365920497,0.0915786414074667,1.7457330206527915,4350,0.05517509686760575,0.01570708906577374,ortho,11810
same_prac,4,2.5532157010898833,0.4464966036439383,12.848353888714326,4350,0.34196473596507876,0.09579865749153427,ortho,11810
diff_dist,4,-0.10343239664011557,0.02476691152779647,0.9017369811309928,4350,-0.047637225123833823,0.010892503767404924,ortho,11810
same_race,4,0.7431917898903349,0.6501010386674347,2.102635987843435,4350,0.0704552058973245,0.0792989907787338,ortho,11810
diff_age,4,0.00687201725412554,0.024192343406352054,1.006895683745816,4350,7.011402380278648e-4,0.0025802283978210434,ortho,11810
diff_gradyear,4,-0.0014058605248665392,0.02118582928991609,0.9985951272341032,4350,-1.4321727795151836e-4,0.002165250015177963,ortho,11810
peer_referrals,4,0.07823461570072983,0.05158608130708525,1.0813763367774918,4350,0.00808765458472889,0.006552523188247107,ortho,11810
