metric,value
Network density,0.044
Same practice group,0.06
Same gender,0.562
Same race,0.684
Mean distance (miles),11.9
Mean experience gap (years),13.3
PCP-specialist pairs,1598408
Unique PCPs,116120
Unique specialists,13017
PCP movers,4664
Pct movers with same-practice specialist,0.264
Unique PCPs in quartets,3948
Unique specialists in quartets,4622
Pct non-separated (MFX sample),0.47
Non-sep same_prac,0.025
Full same_prac,0.021
Non-sep same_sex,0.513
Full same_sex,0.508
Non-sep same_race,0.605
Full same_race,0.588
Non-sep mean_dist,29.149
Full mean_dist,28.192
Unique PCPs in quartets,3948
Unique specialists in quartets,4622
Pct non-separated (MFX sample),0.47
Non-sep same_prac,0.025
Full same_prac,0.021
Non-sep same_sex,0.513
Full same_sex,0.508
Non-sep same_race,0.605
Full same_race,0.588
Non-sep mean_dist,29.149
Full mean_dist,28.192
