metric,value
Network density,0.035
Same practice group,0.079
Same gender,0.754
Same race,0.767
Mean distance (miles),13.4
Mean experience gap (years),11.1
PCP-specialist pairs,566205
Unique PCPs,64098
Unique specialists,15197
PCP movers,1234
Pct movers with same-practice specialist,0.368
Unique PCPs in quartets,673
Unique specialists in quartets,737
Pct non-separated (MFX sample),0.177
Non-sep same_prac,0.079
Full same_prac,0.032
Non-sep same_sex,0.649
Full same_sex,0.655
Non-sep same_race,0.752
Full same_race,0.714
Non-sep mean_dist,33.256
Full mean_dist,40.91
