term,estimate,std.error,model,specialty
same_sex,0.00596509212664681,0.00779468609139455,Year 1 only,cardioem
same_race,0.007733615358986326,0.007748095311130233,Year 1 only,cardioem
same_prac,0.25180028483085737,0.04993161459802921,Year 1 only,cardioem
diff_dist,-0.044131214111194854,0.0010605921746195306,Year 1 only,cardioem
diff_age,5.550301242544264e-4,5.74076804906738e-4,Year 1 only,cardioem
diff_gradyear,1.5661062410798023e-4,3.329835288502136e-4,Year 1 only,cardioem
same_sex,0.01804915196569962,0.005490716904485613,Year 2 only,cardioem
same_race,0.011742832288262532,0.006650845327321496,Year 2 only,cardioem
same_prac,0.3451886666422561,0.0290143398520334,Year 2 only,cardioem
diff_dist,-0.050010951588684356,0.0017613122711701997,Year 2 only,cardioem
diff_age,4.607260317331636e-4,3.1288423241779186e-4,Year 2 only,cardioem
diff_gradyear,-9.643514198504169e-5,5.210739480892377e-4,Year 2 only,cardioem
same_sex,0.0019506339759828557,0.009360814820491446,Year 3 only,cardioem
same_race,0.015272774650836228,0.004156528043582725,Year 3 only,cardioem
same_prac,0.30445183222982014,0.019392185865207773,Year 3 only,cardioem
diff_dist,-0.05354701229822116,0.003053591353490533,Year 3 only,cardioem
diff_age,7.294733336905738e-4,3.406585842486643e-4,Year 3 only,cardioem
diff_gradyear,-8.891565586718064e-4,3.118984942753847e-4,Year 3 only,cardioem
same_sex,0.021678284298282367,0.008505108651700646,Year 4 only,cardioem
same_race,0.022684412099611032,0.010388478140744008,Year 4 only,cardioem
same_prac,0.3497497656719755,0.04337311688489935,Year 4 only,cardioem
diff_dist,-0.054048062188847286,0.0017650864968776978,Year 4 only,cardioem
diff_age,-6.973408400941803e-4,0.0011483559415154253,Year 4 only,cardioem
diff_gradyear,5.559174423504268e-4,9.172790458461678e-4,Year 4 only,cardioem
