term,estimate,std.error,model,specialty
same_sex,0.022958512059325146,0.010387620717768777,Year 1 only,derm
same_race,0.01627075181544744,0.009205096859395589,Year 1 only,derm
same_prac,0.4072114819503798,0.053142269542410844,Year 1 only,derm
diff_dist,-0.06983711056897042,0.004342836205392182,Year 1 only,derm
diff_age,3.8175708227301103e-4,0.0010973690267924996,Year 1 only,derm
diff_gradyear,-6.109526547013643e-4,0.0010714260442898362,Year 1 only,derm
same_sex,0.02173072786926615,0.0035166703346906076,Year 2 only,derm
same_race,-0.006569605781518289,0.009157711757900554,Year 2 only,derm
same_prac,0.3667262241469806,0.029787570311321773,Year 2 only,derm
diff_dist,-0.07734236390351863,0.002667041720526028,Year 2 only,derm
diff_age,-8.26027495071644e-5,6.018506489740183e-4,Year 2 only,derm
diff_gradyear,-6.232992062386616e-4,5.135799801965613e-4,Year 2 only,derm
same_sex,0.02735319652986367,0.005124209115309185,Year 3 only,derm
same_race,0.00648626655776399,0.006968449492821024,Year 3 only,derm
same_prac,0.3759521909723647,0.021317121300149823,Year 3 only,derm
diff_dist,-0.07727956066391839,0.002414811192947827,Year 3 only,derm
diff_age,4.796967898380814e-5,3.827738850741508e-4,Year 3 only,derm
diff_gradyear,-6.543268642863719e-4,6.344062855717896e-4,Year 3 only,derm
same_sex,0.018000143016833316,0.005863050492600483,Year 4 only,derm
same_race,0.011368099605133691,0.007412178320917032,Year 4 only,derm
same_prac,0.3620821151684633,0.023827912589952746,Year 4 only,derm
diff_dist,-0.08571860784396143,0.00190721091997329,Year 4 only,derm
diff_age,-8.293502204878758e-4,7.036798988768455e-4,Year 4 only,derm
diff_gradyear,2.303739450911094e-4,6.176046539933365e-4,Year 4 only,derm
