term,estimate,std.error,model,specialty
same_sex,0.0716331882109652,0.01176131098709944,Year 1 only,ortho
same_race,0.08601376679946099,0.08723094338066047,Year 1 only,ortho
same_prac,0.44624926199615333,0.059351949595548306,Year 1 only,ortho
diff_dist,-0.059915269972062604,0.011251013754177244,Year 1 only,ortho
diff_age,9.870538319605201e-4,0.0031166351650813227,Year 1 only,ortho
diff_gradyear,-2.718512103467814e-4,0.002670036104856864,Year 1 only,ortho
same_sex,0.12226212239105787,0.05301436061699572,Year 2 only,ortho
same_race,-6.314490826504257e-4,0.0256667563051623,Year 2 only,ortho
same_prac,0.265603524039594,0.052536778422315036,Year 2 only,ortho
diff_dist,-0.054191996689259087,0.0065905393469970555,Year 2 only,ortho
diff_age,0.0012203312562944109,0.0010536992830294252,Year 2 only,ortho
diff_gradyear,-8.193164057232431e-4,0.0010012011788631892,Year 2 only,ortho
same_sex,0.04218957748321496,0.057510756084106975,Year 3 only,ortho
same_race,-0.02741959369657646,0.03396561795505003,Year 3 only,ortho
same_prac,0.3204074047321069,0.03413705276156421,Year 3 only,ortho
diff_dist,-0.05321993984747084,0.006117300313588632,Year 3 only,ortho
diff_age,0.005125205934558086,0.002540504460303469,Year 3 only,ortho
diff_gradyear,-0.004858494766063876,0.00261596594590634,Year 3 only,ortho
same_sex,0.06217493745381119,0.048521469585043435,Year 4 only,ortho
same_race,0.0340449971544397,0.036166762936070164,Year 4 only,ortho
same_prac,0.2205098023151228,0.05208556812943598,Year 4 only,ortho
diff_dist,-0.06405506149589521,0.004666822598226072,Year 4 only,ortho
diff_age,0.003800621782418903,0.00142260935932764,Year 4 only,ortho
diff_gradyear,-0.0044417113349071394,0.0014697304929629275,Year 4 only,ortho
