term,estimate,std.error,model,specialty
same_sex,0.005965092126646809,0.00779468609139455,Up to year 1,cardioem
same_race,0.007733615358986325,0.007748095311130233,Up to year 1,cardioem
same_prac,0.25180028483085737,0.04993161459802921,Up to year 1,cardioem
diff_dist,-0.04413121411119485,0.0010605921746195306,Up to year 1,cardioem
diff_age,5.550301242544263e-4,5.740768049067379e-4,Up to year 1,cardioem
diff_gradyear,1.566106241079803e-4,3.329835288502136e-4,Up to year 1,cardioem
same_sex,0.011004705824048912,0.004430949999936268,Up to year 2,cardioem
same_race,0.01204532717730526,0.003187819236985401,Up to year 2,cardioem
same_prac,0.3192567358908423,0.011400936783877864,Up to year 2,cardioem
diff_dist,-0.05001955962322138,0.0014231162430200074,Up to year 2,cardioem
diff_age,3.170415283188645e-4,3.3899828173233784e-4,Up to year 2,cardioem
diff_gradyear,3.656328707719743e-5,2.55892323532918e-4,Up to year 2,cardioem
same_sex,0.008367022573632607,0.0041394335732742645,Up to year 3,cardioem
same_race,0.012816218792675941,0.0024474238774651416,Up to year 3,cardioem
same_prac,0.3271803361769836,0.013444285510565136,Up to year 3,cardioem
diff_dist,-0.05312739711950969,0.001579282497210601,Up to year 3,cardioem
diff_age,3.4393009326593284e-4,2.169362415458095e-4,Up to year 3,cardioem
diff_gradyear,-3.124066142847924e-4,2.334797403620883e-4,Up to year 3,cardioem
same_sex,0.011149210652597321,0.0027994740907737316,Up to year 4,cardioem
same_race,0.014373545419471079,0.002417588187232453,Up to year 4,cardioem
same_prac,0.32307452895191996,0.013726163752846557,Up to year 4,cardioem
diff_dist,-0.05549065627126172,0.001341487663443945,Up to year 4,cardioem
diff_age,2.558368717203628e-4,1.995164706885223e-4,Up to year 4,cardioem
diff_gradyear,-2.4260200822580783e-4,2.137967252500091e-4,Up to year 4,cardioem
