term,estimate,std.error,model,specialty
same_sex,0.011432172227834513,0.005223632330920726,Up to year 1,derm
same_race,0.008082139404975723,0.004644882092827949,Up to year 1,derm
same_prac,0.31539187487164333,0.06608008371195144,Up to year 1,derm
diff_dist,-0.03180153389721502,0.0017859906059344442,Up to year 1,derm
diff_age,1.900044291503161e-4,5.528646749729123e-4,Up to year 1,derm
diff_gradyear,-3.0370277094972944e-4,5.427385193277549e-4,Up to year 1,derm
same_sex,0.005532632864825879,0.001073647621741612,Up to year 2,derm
same_race,0.0019282340510312884,0.002290278668068974,Up to year 2,derm
same_prac,0.18691820505080078,0.02174530691541569,Up to year 2,derm
diff_dist,-0.01929618044558183,5.342136548654135e-4,Up to year 2,derm
diff_age,-1.7474168585005655e-5,1.0167065597855353e-4,Up to year 2,derm
diff_gradyear,-1.21864761720167e-4,9.545008183019643e-5,Up to year 2,derm
same_sex,0.005764131443265848,7.342345156374471e-4,Up to year 3,derm
same_race,0.0017262108407377933,0.0013729617473159624,Up to year 3,derm
same_prac,0.191979552820832,0.019925088163738034,Up to year 3,derm
diff_dist,-0.019444067239724642,3.949226237538624e-4,Up to year 3,derm
diff_age,-1.714131764412719e-5,7.559876260207561e-5,Up to year 3,derm
diff_gradyear,-1.2592949040313202e-4,8.02679968041139e-5,Up to year 3,derm
same_sex,0.0065629004238865665,7.615791661753191e-4,Up to year 4,derm
same_race,0.002922188920284304,0.0016174456813047708,Up to year 4,derm
same_prac,0.23994202204524023,0.024481609751038174,Up to year 4,derm
diff_dist,-0.024392522304351745,5.433543951791495e-4,Up to year 4,derm
diff_age,-6.91156674501494e-5,9.061989485044264e-5,Up to year 4,derm
diff_gradyear,-1.038001290545847e-4,9.811473678964007e-5,Up to year 4,derm
