term,estimate,std.error,model,specialty
same_sex,0.05844768201607141,0.012835625201864667,Up to year 1,ortho
same_race,0.06964098882932881,0.0758653090429763,Up to year 1,ortho
same_prac,0.3847144311817705,0.08140651626684377,Up to year 1,ortho
diff_dist,-0.04801065869462092,0.01020216794647415,Up to year 1,ortho
diff_age,8.000522692782428e-4,0.0025876562845133172,Up to year 1,ortho
diff_gradyear,-2.202936002200609e-4,0.0021742973482759775,Up to year 1,ortho
same_sex,0.045175782323927126,0.013411691123931575,Up to year 2,ortho
same_race,0.004895468107102177,0.013125170027835678,Up to year 2,ortho
same_prac,0.12518500562699053,0.030910440306826565,Up to year 2,ortho
diff_dist,-0.03041595822147103,0.0030448058601139217,Up to year 2,ortho
diff_age,7.170744949733949e-4,7.015244972990673e-4,Up to year 2,ortho
diff_gradyear,-5.108437737394337e-4,7.116413433057e-4,Up to year 2,ortho
same_sex,0.03916260573807909,0.013400034433631556,Up to year 3,ortho
same_race,-0.004407594775427407,0.008886939872485154,Up to year 3,ortho
same_prac,0.16603479534323082,0.02694883832198326,Up to year 3,ortho
diff_dist,-0.027162403075959723,0.002547233967731094,Up to year 3,ortho
diff_age,0.0012975566678140183,7.798307294707976e-4,Up to year 3,ortho
diff_gradyear,-0.0012333935989586667,7.942955267682524e-4,Up to year 3,ortho
same_sex,0.015805689386682323,0.010091438208600473,Up to year 4,ortho
same_race,7.431574602691039e-4,0.00518442839368454,Up to year 4,ortho
same_prac,0.14296148629650593,0.023224966487901816,Up to year 4,ortho
diff_dist,-0.02449325374642149,0.0018318066017434015,Up to year 4,ortho
diff_age,0.001068302692669741,5.360468948969426e-4,Up to year 4,ortho
diff_gradyear,-0.001133498533668954,5.536586978778226e-4,Up to year 4,ortho
