term,estimate,std.error,window
same_sex,0.002491664830317008,5.538065145294415e-4,Up to year 1
same_race,0.001070372087355895,4.2249217304826436e-4,Up to year 1
same_prac,0.041023647441339364,0.0029932947069231113,Up to year 1
dist_miles,-0.0013475572628471313,3.190337718454849e-5,Up to year 1
diff_age,-1.184068241673136e-4,4.265872750105324e-5,Up to year 1
diff_gradyear,-7.660615315951569e-5,4.122569065186868e-5,Up to year 1
peer_referrals,0.0017062606312922529,1.0791365034489113e-4,Up to year 1
left_practice,0.18400570002423022,0.09605738443796637,Up to year 1
same_sex,0.0019964397109335707,4.007754984581522e-4,Up to year 2
same_race,0.0013508184013180586,3.275384175424448e-4,Up to year 2
same_prac,0.03730346998300223,0.0019880476560980498,Up to year 2
dist_miles,-0.0014347563817661377,2.1537599888563016e-5,Up to year 2
diff_age,-9.068758019645624e-5,3.1923657042096504e-5,Up to year 2
diff_gradyear,-1.1780856295796155e-4,3.050808221803409e-5,Up to year 2
peer_referrals,0.0020796846128209503,9.156385866348444e-5,Up to year 2
left_practice,0.05452194613430848,0.008632154922194225,Up to year 2
same_sex,0.0021064115809910967,3.472904680018978e-4,Up to year 3
same_race,0.0014531770220799363,2.8734751330941973e-4,Up to year 3
same_prac,0.03537428348340063,0.0016906431937688433,Up to year 3
dist_miles,-0.0014817340573594746,1.8283158556504776e-5,Up to year 3
diff_age,-5.1842799152909364e-5,2.8453500227447714e-5,Up to year 3
diff_gradyear,-1.7916519768669263e-4,2.6928489524954105e-5,Up to year 3
peer_referrals,0.002254757448663998,8.539733006894347e-5,Up to year 3
left_practice,0.04151978945144596,0.006233633004391636,Up to year 3
same_sex,0.0021481075611585613,3.2113062045639127e-4,Up to year 4
same_race,0.0015378782009438227,2.687070884135454e-4,Up to year 4
same_prac,0.03433971152477664,0.0015458507804293462,Up to year 4
dist_miles,-0.001549656023514914,1.7136701458091136e-5,Up to year 4
diff_age,-6.871648598072491e-5,2.6541206357468828e-5,Up to year 4
diff_gradyear,-1.7774157263073174e-4,2.5222705715920804e-5,Up to year 4
peer_referrals,0.0023059739182770688,8.001380232843608e-5,Up to year 4
left_practice,0.038513321128386624,0.0053046559310845854,Up to year 4
