term,estimate,std.error,window
same_sex,0.0038496121387847125,6.512882006528098e-4,Up to year 1
same_race,0.0017865553626283143,8.936066843076792e-4,Up to year 1
same_prac,0.04550583901899316,0.00452076286501785,Up to year 1
dist_miles,-0.0022916116476373173,5.343781906343849e-5,Up to year 1
diff_age,4.118573988514189e-5,7.055688747681017e-5,Up to year 1
diff_gradyear,-2.254070467774647e-4,6.759251695039945e-5,Up to year 1
peer_referrals,0.002202980699292033,1.3361549744948207e-4,Up to year 1
left_practice,-0.030933162283385045,0.0013401503580898842,Up to year 1
same_sex,0.004282592867048652,4.8547587057117073e-4,Up to year 2
same_race,0.001727154715586001,6.635206076101127e-4,Up to year 2
same_prac,0.039463228817531185,0.0030473262228513528,Up to year 2
dist_miles,-0.0025383845060628902,3.6846430040576885e-5,Up to year 2
diff_age,3.5054486607336504e-5,5.290854667048651e-5,Up to year 2
diff_gradyear,-2.5151986112299855e-4,5.022709547940697e-5,Up to year 2
peer_referrals,0.0026177741441324987,1.018452740389228e-4,Up to year 2
left_practice,0.08139456860619931,0.019446874715090587,Up to year 2
same_sex,0.0044503347689257575,4.3131423649973063e-4,Up to year 3
same_race,0.0015589960485127134,5.901553531910252e-4,Up to year 3
same_prac,0.0369989848287844,0.0026195826736677883,Up to year 3
dist_miles,-0.002680797314171747,3.201827722884212e-5,Up to year 3
diff_age,-2.303918946048848e-5,4.679791925601518e-5,Up to year 3
diff_gradyear,-2.0939423947599902e-4,4.499890015936854e-5,Up to year 3
peer_referrals,0.0028071984355134212,9.485066069232194e-5,Up to year 3
left_practice,0.06236636609253667,0.010971960127688741,Up to year 3
same_sex,0.004522780405986559,4.005694635521309e-4,Up to year 4
same_race,0.0014045156312630848,5.429998250354835e-4,Up to year 4
same_prac,0.03598052522665045,0.0024481550639386574,Up to year 4
dist_miles,-0.0027530531116378514,2.927374673672626e-5,Up to year 4
diff_age,-2.8415524073393553e-5,4.375424929835844e-5,Up to year 4
diff_gradyear,-2.1697130371779077e-4,4.1923146957228814e-5,Up to year 4
peer_referrals,0.00288887189221256,8.858519510780775e-5,Up to year 4
left_practice,0.05693623392008882,0.00921716993617417,Up to year 4
