term,estimate,std.error,window
same_sex,0.0014779216218075105,0.005268014618637001,Up to year 1
same_race,0.0036651377036370663,0.002750075452980766,Up to year 1
same_prac,0.021790834094786736,0.005066130220249816,Up to year 1
dist_miles,-0.0010797264658915292,1.3431740867428434e-4,Up to year 1
diff_age,-5.544888492573078e-5,1.7736963370396656e-4,Up to year 1
diff_gradyear,-1.421005494141361e-4,1.6824711580614633e-4,Up to year 1
peer_referrals,0.004310156576172496,5.875441032304485e-4,Up to year 1
new_specialist,-0.11632144359751152,0.00951283646310373,Up to year 1
same_sex,-0.0013003499936047015,0.0030579984212436464,Up to year 2
same_race,0.004051487252206541,0.0017808124156490843,Up to year 2
same_prac,0.0224436661346836,0.003248545267785337,Up to year 2
dist_miles,-0.0011260165714712582,7.56284447601387e-5,Up to year 2
diff_age,-1.0750665701269587e-4,1.1726268199836343e-4,Up to year 2
diff_gradyear,-1.5959207632550645e-4,1.1350601777238313e-4,Up to year 2
peer_referrals,0.004453547727859148,3.445423774673996e-4,Up to year 2
new_specialist,-0.09484656751805906,0.006129462337494282,Up to year 2
same_sex,0.0023909277840135383,0.0026429541936694913,Up to year 3
same_race,0.0031274912899680184,0.0014164200382542477,Up to year 3
same_prac,0.02091063176195839,0.0028927379888715973,Up to year 3
dist_miles,-0.0012350791598686372,6.745329789343017e-5,Up to year 3
diff_age,9.79693842579081e-7,9.89873650966579e-5,Up to year 3
diff_gradyear,-1.848232448360994e-4,9.577215191369192e-5,Up to year 3
peer_referrals,0.004754266852532722,3.730294757285695e-4,Up to year 3
same_sex,0.0035153261375862332,0.002403906073173877,Up to year 4
same_race,0.0030039086653175654,0.0012758862644979797,Up to year 4
same_prac,0.02137774187291052,0.002532455673570014,Up to year 4
dist_miles,-0.00128293810391992,5.865832785721919e-5,Up to year 4
diff_age,-2.9860231267061164e-5,8.945166863095386e-5,Up to year 4
diff_gradyear,-2.0028360442035523e-4,8.572921209317663e-5,Up to year 4
peer_referrals,0.004750210599088404,3.0500410298338316e-4,Up to year 4
