doctor,specialty,treat,n_years,move_year,doc_group,doc_hrr,female,age,experience,white,n_choice,n_refer
1134227614,ortho,0,1,2010,103886,1,1,36,11,0,104,2
1083820781,ortho,0,1,2010,246731,11,0,35,7,0,19,1
1164412466,ortho,0,1,2010,261095,12,0,50,30,1,115,1
1548289580,ortho,0,1,2010,323365,12,0,65,38,1,115,3
1629284211,ortho,1,1,2010,322513,12,0,43,7,1,115,2
1730178914,ortho,0,1,2010,102683,12,0,47,12,1,115,2
1497822621,ortho,0,1,2010,260496,21,0,52,9,1,21,1
1770683641,ortho,0,1,2010,93468,21,1,33,7,1,21,1
1962558197,ortho,0,1,2010,276505,22,1,58,23,1,10,1
1407875941,ortho,0,1,2010,271360,23,0,47,20,1,60,1
1043392186,ortho,0,1,2010,114451,56,1,47,22,1,179,1
1487677977,ortho,0,1,2010,341891,56,0,55,27,0,179,2
1447228796,ortho,0,1,2010,342209,69,1,42,18,1,12,1
1659578243,ortho,0,1,2010,38233,69,1,34,6,1,12,1
1083768618,ortho,1,2,2010,270897,77,0,36,5,1,103,2
1710931019,ortho,0,1,2010,108586,78,0,47,24,1,18,1
1861500274,ortho,1,3,2010,108586,78,0,37,11,1,166,3
1609898758,ortho,1,1,2010,135462,79,1,51,22,0,39,2
1598975690,ortho,0,1,2010,134878,80,0,33,6,1,86,1
1487674685,ortho,1,1,2010,291339,85,0,46,20,0,23,1
1568431781,ortho,0,1,2010,318107,103,0,54,28,1,84,3
1023058591,ortho,0,1,2010,311027,104,0,59,33,1,26,1
1346224169,ortho,0,1,2010,316953,104,0,56,30,1,26,1
1932128873,ortho,0,1,2010,317945,104,0,34,8,1,26,1
1245295013,ortho,0,1,2010,318115,107,0,50,22,1,11,1
1003876228,ortho,0,1,2010,15420,109,1,34,9,0,26,1
1265485171,ortho,0,1,2010,265999,118,1,54,14,1,84,1
1366557621,ortho,0,1,2010,111155,119,1,44,10,1,53,2
1497916910,ortho,1,1,2010,265447,119,0,36,7,0,53,1
1982829628,ortho,0,1,2010,266127,119,1,34,6,1,53,2
1043223753,ortho,0,1,2010,250838,123,0,43,14,1,51,1
1801096037,ortho,0,1,2010,253055,123,0,38,6,0,51,1
1851378012,ortho,0,1,2010,112495,127,0,38,10,1,47,1
1053316133,ortho,0,1,2010,249020,129,0,62,37,0,18,2
1255324091,ortho,0,2,2010,72082,129,0,53,27,1,122,6
1487855987,ortho,0,1,2010,61649,129,0,42,14,0,18,1
1023057999,ortho,1,1,2010,247298,130,0,46,19,1,107,1
1740257773,ortho,1,1,2010,241818,134,0,56,26,1,39,1
1992818595,ortho,0,1,2010,276118,134,0,41,15,1,39,2
1770583445,ortho,0,1,2010,247212,137,0,49,22,1,24,1
1801998877,ortho,1,1,2010,251085,141,0,35,10,0,41,1
1255327680,ortho,0,1,2010,241239,144,0,48,22,1,142,1
1205884020,ortho,1,1,2010,238554,147,0,40,22,1,19,1
1346213303,ortho,1,1,2010,303336,151,0,43,10,1,41,1
1982771671,ortho,1,2,2010,302804,151,0,58,20,1,63,2
1114033669,ortho,1,2,2010,145793,161,1,46,19,1,56,2
1437115870,ortho,0,1,2010,11798,163,1,40,15,1,17,1
1104820869,ortho,1,1,2010,149305,172,0,54,29,1,34,2
1144284480,ortho,0,1,2010,141829,179,0,65,27,1,31,4
1932186723,ortho,0,1,2010,106429,180,0,41,16,0,30,1
1124012729,ortho,1,3,2010,105147,183,1,41,13,1,275,4
1235129065,ortho,1,1,2010,105147,183,1,41,15,1,126,1
1548476120,ortho,0,1,2010,118313,187,0,51,24,1,34,1
1215915855,ortho,0,1,2010,167057,191,0,60,35,1,28,4
1306825062,ortho,0,1,2010,167057,191,0,64,,1,28,1
1306990817,ortho,1,1,2010,166920,191,1,41,21,0,28,1
1346228970,ortho,0,1,2010,167057,191,0,48,19,1,28,6
1508823998,ortho,0,2,2010,167057,191,0,37,13,0,41,8
1720058019,ortho,0,1,2010,167057,191,0,61,35,1,28,3
1154547073,ortho,0,1,2010,110616,195,0,32,5,1,5,3
1023115730,ortho,0,1,2010,163674,205,1,42,25,1,71,1
1144225053,ortho,0,1,2010,220075,223,0,38,13,0,113,1
1295727790,ortho,0,1,2010,144575,223,0,40,14,1,113,3
1548265580,ortho,0,1,2010,48886,225,1,43,16,1,20,3
1396741963,ortho,1,1,2010,9944,227,0,48,21,1,185,2
1942268438,ortho,0,1,2010,10428,227,1,49,24,1,185,1
1922197151,ortho,1,1,2010,160953,232,1,37,10,1,49,1
1093777013,ortho,0,1,2010,108496,233,0,59,38,1,17,2
1396741682,ortho,0,1,2010,154596,236,1,45,14,1,45,1
1417162173,ortho,0,1,2010,156413,238,1,31,5,0,24,2
1164512034,ortho,0,1,2010,73664,243,0,37,5,1,11,1
1609811975,ortho,0,2,2010,100008,245,0,53,27,1,69,4
1801851498,ortho,1,2,2010,164059,250,1,38,12,0,77,2
1184744765,ortho,0,1,2010,169910,264,0,50,12,1,27,1
1407046220,ortho,1,1,2010,277598,267,1,38,3,1,16,1
