delta,term,beta,se,or
0,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
0,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
0,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
0,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
0,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
0,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
0.25,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
0.25,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
0.25,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
0.25,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
0.25,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
0.25,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
0.5,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
0.5,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
0.5,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
0.5,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
0.5,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
0.5,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
0.75,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
0.75,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
0.75,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
0.75,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
0.75,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
0.75,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
1,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
1,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
1,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
1,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
1,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
1,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
1.25,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
1.25,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
1.25,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
1.25,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
1.25,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
1.25,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
1.5,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
1.5,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
1.5,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
1.5,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
1.5,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
1.5,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
1.75,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
1.75,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
1.75,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
1.75,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
1.75,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
1.75,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
2,same_sex,0.588340587597825,0.09884389946972733,1.8009973370505836
2,same_prac,2.831803679566405,0.3865482155150337,16.976052586547997
2,diff_dist,-0.10372312095303482,0.02429696980313615,0.9014748623707141
2,same_race,0.7289958790844692,0.619457341958349,2.072998021593648
2,diff_age,0.007787803046604144,0.02401331739623291,1.0078182068598052
2,diff_gradyear,-0.002155125474383332,0.021131899672001277,0.99784719514115
